N_SOLICITUD_EXP	F_ESTUDIO_EXP	SUBPRODUCTO_EXP	No Tarjetas	Cupos	Ingresos	EDAD_EXP	TIPO_VIVIENDA_VIVE_EXP	N_HIJOS_EXP	VIVIENDA_NUEVA_EXP	CANAL_EXP	GENERO_ACT_	ESTADO_CIVIL_ACT_	TIPO_VIVIENDA_ACT_	NIVEL_ACADEM_ACT_	OCUPACION_ACT_	AnosAntiguedadEmpl	AnosRelacionBanco	MORAMAX 18 meses	Mora Inicial	MORA_ACTUAL	Rodo
2936	201207	TarjetaNuestra	1	4	1,665543	37			SI	Almacen	FEMENINO	NO INFORMA	FAMILIAR	NO INFORMA	EMPLEADO	0,916666667	4,630555556	0	36	43	0
2937	201207	TarjetaNuestra	1	12	9,5	39			NO	Almacen	FEMENINO	VIUDO	FAMILIAR	ESPECIALIZACION	SOCIO EMPLEADO - SOCIO	16,125	14,10833333		37	44	0
2938	201311	TarjetaNuestra	1	4,9	5,131	34					MASCULINO	NO INFORMA		NO INFORMA	COMERCIANTE	0	0	0	42	49	0
2939	201311	TarjetaNuestra	2	12,4	3,338151	40	PROPIA	1	SI	Almacen	MASCULINO	NO INFORMA	PROPIA	UNIVERSITARIO	EMPLEADO		16,12222222	0	40	47	0
2940	201207	TarjetaNuestra	1	8	8,549625	32			NO	Almacen	FEMENINO	NO INFORMA	PROPIA	ESPECIALIZACION	EMPLEADO		1,586111111	13	39	46	0
2941	201311	TarjetaNuestra	1	2,4	0,966555	39					FEMENINO	UNION LIBRE	PROPIA	UNIVERSITARIO	EMPLEADO	5,102777778	2,466666667	0	38	45	0
2942	201207	TarjetaNuestra	1	7,56945	0	54			NO	Almacen	FEMENINO	CASADO	PROPIA	NO INFORMA	JUBILADO	0	11,91388889	0	31	38	0
2943	201207	TarjetaNuestra	2	10	4,959	33			SI	Almacen	MASCULINO	NO INFORMA	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO		0	0	37	44	0
2944	201311	TarjetaMundo	2	17,3	10,912	28				Almacen	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	2,277777778	8,011111111	0	34	41	0
2945	201311	TarjetaNuestra	1	3,5	18	38					MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	13,01944444	15,34722222	0	45	52	0
2946	201207	TarjetaNuestra	1	31	15	38			NO	Almacen	FEMENINO	CASADO	ALQUILADA	NO INFORMA	EMPLEADO	8,394444444	17,45	13	41	48	0
2947	201311	TarjetaNuestra	1	8	4,378	58					FEMENINO	CASADO		ESPECIALIZACION	JUBILADO	0	0,419444444	0	58	65	1
2948	201311	TarjetaNuestra	2	7,5	1,452922	30	FAMILIAR	1	NO	Almacen	MASCULINO	CASADO	FAMILIAR	TECNOLOGO	EMPLEADO		0,275	18	42	49	0
2949	201311	TarjetaNuestra	1	10,85	3,466	27					MASCULINO	SOLTERO		TECNOLOGO	EMPLEADO	6,438888889	6,925	0	42	49	0
2950	201311	TarjetaNuestra	1	11	15,500001	48					MASCULINO	NO INFORMA		BACHILLER	EMPLEADO	0	17,73055556	8	37	44	0
2951	201311	TarjetaMundo	1	28,1560701	16,341668	41				Preaprobado	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	PROFESIONAL INDEPENDIENTE		11,59722222	0	40	47	0
2952	201311	TarjetaNuestra	1	4,02	11,518666	53					FEMENINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO		31,93888889	0	35	0	0
2953	201207	TarjetaNuestra	1	3,346	2,4	45			SI	Almacen	MASCULINO	CASADO	ALQUILADA	TECNOLOGO	EMPLEADO	14,63611111	19,54166667	32	31	38	0
2954	201207	TarjetaNuestra	1	9,3156	5,393246	30			SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	3,538888889	6,041666667		33	40	0
2955	201207	TarjetaNuestra	1	2	19,667083	32			NO	Almacen	FEMENINO	UNION LIBRE		UNIVERSITARIO	COMERCIANTE	10,49444444	0	1	33	40	0
2956	201311	TarjetaMundo	1	25	42,949	36				Almacen	FEMENINO	NO INFORMA	PROPIA	ESPECIALIZACION	OTRA		18,31666667	0	33	40	0
2957	201311	TarjetaNuestra	1	5,62275	0,92266	31					MASCULINO	NO INFORMA	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,744444444	6,861111111		40	47	0
2958	201311	TarjetaNuestra	2	5,33715	2,6	28	FAMILIAR	1	SI	Almacen	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	5,088888889	7,097222222	0	36	0	0
2959	201311	TarjetaNuestra	2	4,15212	1,373548	27	FAMILIAR	0	SI	Almacen	FEMENINO	CASADO	NO INFORMA	TECNOLOGO	EMPLEADO	1,694444444	7,955555556	49	48	55	0
2960	201311	TarjetaNuestra	1	4,2	0	61					MASCULINO	CASADO	PROPIA	TECNOLOGO	INDEPENDIENTE	18,30277778	20,35277778	31	36	43	0
2961	201207	TarjetaNuestra	2	15,4	0	29			NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	4,916666667	7,380555556		38	45	0
2962	201311	TarjetaNuestra	1	2,8	1,643	24					FEMENINO	SOLTERO		UNIVERSITARIO	EMPLEADO	1,366666667	1,383333333	0	44	51	0
2963	201311	TarjetaNuestra	2	10,36	3,428748	29	FAMILIAR	0	SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO		10,98333333	0	34	0	0
2964	201311	TarjetaNuestra	1	4,6	1,2908	51					FEMENINO	OTRO		TECNOLOGO	EMPLEADO	0	0	0	36	43	0
2965	201311	TarjetaNuestra	1	4	0	48					FEMENINO	CASADO			PROFESIONAL INDEPENDIENTE	0	0		42	49	0
2966	201207	TarjetaNuestra	1	4,55	4,783175	50			NO	Almacen	MASCULINO	UNION LIBRE	PROPIA	BACHILLER	EMPLEADO	7,638888889	5,130555556	0	47	54	0
2967	201311	TarjetaNuestra	2	4,34	0,66	36	ARRENDADA	3 Ó MAS	SI	Preaprobado						0	0		41	48	0
2968	201207	TarjetaNuestra	1	6	8,125	43			NO	Almacen	MASCULINO	CASADO		TECNOLOGO	COMERCIANTE		0	0	53	60	0
2969	201207	TarjetaNuestra	1	4,48	1,885	30			NO	Almacen	MASCULINO	SOLTERO		UNIVERSITARIO	INDEPENDIENTE	0	2,833333333	0	44	51	0
2970	201311	TarjetaNuestra	1	6,09	2,359699	37					FEMENINO	SOLTERO		UNIVERSITARIO	EMPLEADO		0	0	33	40	0
2971	201207	TarjetaNuestra	1	40	19,95	37			NO	Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0,416666667	0	0	35	42	0
2972	201311	TarjetaMundo	2	13,51	8,223	31				Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,172222222	4,508333333	5	47	54	0
2973	201311	TarjetaMundo	2	14,24	3,5973	34				Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	3,786111111	5,730555556	0	31	38	0
2974	201207	TarjetaNuestra	2	11	1,79	30			NO	Almacen	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	3,5	6,161111111	187	34	41	0
2975	201311	TarjetaColombia	2	20	16,4252	62	ARRENDADA		NO	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	2,833333333	2,844444444	0	56	63	1
2976	201311	TarjetaNuestra	1	8	1,25	52					MASCULINO	NO INFORMA		BACHILLER	EMPLEADO	4,833333333	0		41		0
2977	201207	TarjetaNuestra	1	8	4,261324	48			NO	Preaprobado	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	JUBILADO	3	18,69166667	0	60	67	1
2978	201207	TarjetaNuestra	1	5,168475	3,4	55			SI	Almacen	FEMENINO	CASADO	PROPIA	BACHILLER	EMPLEADO	10,28888889	23,16111111		47	54	0
2979	201311	TarjetaNuestra	1	3	1,471	33					MASCULINO	SOLTERO	PROPIA	NO INFORMA	EMPLEADO	0	0	0	39	46	0
2980	201311	TarjetaNuestra	1	4,06	1,2148	27					FEMENINO	SOLTERO		BACHILLER	EMPLEADO	2,208333333	0	20	31	38	0
2981	201311	TarjetaNuestra	1	8	7,226	51					MASCULINO	CASADO	PROPIA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE	2,077777778	0	0	31	38	0
2982	201207	TarjetaNuestra	1	8,75	3,233661	35			NO	Almacen	FEMENINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	7	14,26666667		43	50	0
2983	201207	TarjetaNuestra	2	21,7	7	53			NO	Almacen	FEMENINO	CASADO	ALQUILADA	NO INFORMA	INDEPENDIENTE	0	19,03888889		33	40	0
2984	201311	TarjetaNuestra	2	5,6	41	22	FAMILIAR	0	SI	Almacen	MASCULINO	SOLTERO		UNIVERSITARIO	INDEPENDIENTE		4,161111111	6	54	61	0
2985	201207	TarjetaNuestra	1	2,2	2,1809	28			NO	Almacen	MASCULINO	UNION LIBRE	PROPIA	NO INFORMA	EMPLEADO	1,941666667	3,213888889	0	56	63	1
2986	201311	TarjetaNuestra	1	3,5	1,49	46					FEMENINO	DIVORCIADO		NO INFORMA	EMPLEADO	0	0	12	34	41	0
2987	201311	TarjetaColombia	1	6	3,30842	23	ARRENDADA		NO	Almacen	MASCULINO	SOLTERO		BACHILLER	EMPLEADO	1,502777778	0,158333333	1	45	52	0
2988	201311	TarjetaNuestra	1	5	7,344	30					MASCULINO	CASADO	FAMILIAR	TECNOLOGO	INDEPENDIENTE	8,555555556	8,322222222	0	48	24	0
2989	201311	TarjetaNuestra	1	2,5	1,5	32					FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	INDEPENDIENTE	3,833333333	12,16944444	0	31	38	0
2990	201311	TarjetaNuestra	2	4	1,022841	32	FAMILIAR	0	SI	Almacen	FEMENINO	UNION LIBRE		TECNOLOGO	INDEPENDIENTE	0	0,961111111	0	49	56	0
2991	201201	TarjetaNuestra	2	4	1,407305	43					MASCULINO	UNION LIBRE		BACHILLER	EMPLEADO	0	4,586111111	0	39	46	0
2992	201207	TarjetaNuestra	2	5,355	1,44122	26			SI	Almacen	FEMENINO	UNION LIBRE		ESPECIALIZACION	EMPLEADO	2,188888889	2,211111111	0	37		0
2993	201311	TarjetaNuestra	1	6,4892	3,874065	63					FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	JUBILADO	0	19,16666667	0	37	44	0
2994	201311	TarjetaNuestra	2	7	1,5624	41	ARRENDADA	0	NO	Preaprobado	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	19,75	16,14444444	21	45	52	0
2995	201207	TarjetaNuestra	1	2,195	25,498916	32			SI	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	8,241666667	1,413888889	8	39		0
2996	201311	TarjetaNuestra	2	5	1,6	37	FAMILIAR	1	SI	Almacen	FEMENINO	NO INFORMA		NO INFORMA	INDEPENDIENTE	0	0,119444444		46		0
2997	201207	TarjetaNuestra	1	22,4	20	42			SI	Almacen	FEMENINO	DIVORCIADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	7,916666667	9,786111111	8	53	60	0
2998	201311	TarjetaNuestra	2	13,79	0	28	FAMILIAR	0	NO	Preaprobado	MASCULINO	SOLTERO		UNIVERSITARIO	GANADERO	3,333333333	3,397222222		50	57	0
2999	201311	TarjetaNuestra	1	5,817	2,122	38					FEMENINO	SOLTERO	PROPIA	TECNOLOGO	EMPLEADO	0	12,64722222		34	41	0
3000	201311	TarjetaNuestra	1	10	0	34					FEMENINO	NO INFORMA	PROPIA	NO INFORMA	PROFESIONAL INDEPENDIENTE	7,972222222	0		58	65	1
3001	201207	TarjetaNuestra	1	4	9,6	50			NO	Almacen	FEMENINO	DIVORCIADO		UNIVERSITARIO	EMPLEADO	0	0,102777778	18	53	60	0
3002	201207	TarjetaNuestra	2	7	6,069	30			NO	Almacen	MASCULINO	CASADO		PRIMARIA	INDEPENDIENTE	1,366666667	4,555555556	0	60	67	1
3003	201311	TarjetaNuestra	1	11,3	3,56	49					MASCULINO	CASADO	PROPIA	BACHILLER	INDEPENDIENTE	7,625	13,17222222	0	42	49	0
3004	201311	TarjetaLocal	1	10	8	32			NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,230555556	7,602777778	47	53	60	0
3005	201207	TarjetaNuestra	2	15	4	25			SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	3,325	3,905555556		31	38	0
3006	201207	TarjetaNuestra	1	3,5	1,8	41			NO	Almacen	FEMENINO	CASADO		TECNOLOGO	EMPLEADO		0	49	34	41	0
3007	201311	TarjetaNuestra	1	11	3,735225	59					FEMENINO	VIUDO	NO INFORMA	ESPECIALIZACION	JUBILADO	37,83333333	7,202777778	0	43	50	0
3008	201311	TarjetaNuestra	1	13,49976	7,6635	41					MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	3,416666667	13,18611111	0	43	50	0
3009	201311	TarjetaNuestra	2	15,4	10,509608	47	PROPIA	1	NO	Almacen	MASCULINO	CASADO	FAMILIAR	TECNOLOGO	EMPLEADO	23,10277778	2,455555556	38	31	38	0
3010	201311	TarjetaNuestra	1	3,5	1,1	42					FEMENINO	SOLTERO		NO INFORMA	EMPLEADO	0	2,725	0	41	0	0
3011	201311	TarjetaNuestra	1	5,04	1,696	36					MASCULINO	UNION LIBRE	FAMILIAR	UNIVERSITARIO	EMPLEADO	7,163888889	0,677777778		33	40	0
3012	201311	TarjetaNuestra	2	17,5	0	43	PROPIA	0	NO	Almacen	FEMENINO	CASADO	PROPIA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE	14,11111111	14,86111111	0	34	41	0
3013	201207	TarjetaNuestra	2	3,7	0,566	40			NO	Almacen	MASCULINO	NO INFORMA	NO INFORMA	NO INFORMA	EMPLEADO	0	0,944444444	158	34	0	0
3014	201311	TarjetaNuestra	1	4,368	2,71435	32					FEMENINO	NO INFORMA		TECNOLOGO	EMPLEADO		3,452777778	6	45	52	0
3015	201207	TarjetaNuestra	1	10	5,532472	49			SI	Preaprobado	FEMENINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO		0	11	38	45	0
3016	201311	TarjetaNuestra	2	28	8,09	40	PROPIA	0	NO	Almacen	FEMENINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	5,202777778	16,45833333	0	40	47	0
3017	201207	TarjetaNuestra	1	2,45	1,75	46			NO	Almacen	FEMENINO	SOLTERO	NO INFORMA	PRIMARIA	EMPLEADO	18,40555556	10,24722222	0	37	44	0
3018	201311	TarjetaNuestra	2	5,1198	1,2	35	FAMILIAR	0	SI	Preaprobado	MASCULINO	NO INFORMA	ALQUILADA	BACHILLER	EMPLEADO	0	0,122222222	2	38	45	0
3019	201311	TarjetaNuestra	1	8	1,9	26					FEMENINO	SOLTERO	PROPIA	NO INFORMA	EMPLEADO	0,458333333	11,12222222	0	39	46	0
3020	201207	TarjetaNuestra	2	4,9	1,659525	39			NO	Almacen	MASCULINO	UNION LIBRE		PRIMARIA	EMPLEADO	1,697222222	1,7		58	65	1
3021	201311	TarjetaNuestra	2	12,95	16	38	FAMILIAR	1	NO	Almacen	MASCULINO	CASADO	PROPIA	TECNOLOGO	SOCIO EMPLEADO - SOCIO		12,66388889	0	37	44	0
3022	201311	TarjetaNuestra	1	2,9	0,5895	56					FEMENINO	SOLTERO		TECNOLOGO	JUBILADO		0,572222222		35	0	0
3023	201311	TarjetaNuestra	1	7	0,641989	55					FEMENINO	SOLTERO	PROPIA	BACHILLER	COMERCIANTE		14,52777778	0	51	58	0
3024	201311	TarjetaMundo	1	14,0379993	0	55				Preaprobado	FEMENINO	SOLTERO	PROPIA	ESPECIALIZACION	INDEPENDIENTE	13,83333333	21,33333333	0	37	44	0
3025	201311	TarjetaNuestra	1	7,7	0	35					MASCULINO	UNION LIBRE	PROPIA	ESPECIALIZACION	INDEPENDIENTE	0	11,25555556	10	54	61	0
3026	201311	TarjetaNuestra	1	6,37	2,808	29					MASCULINO	DIVORCIADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0	0	0	49	56	0
3027	201311	TarjetaNuestra	1	13	10,936	42					MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,783333333	2,8	0	36	43	0
3028	201207	TarjetaNuestra	1	4	3	34			SI	Almacen	MASCULINO	SOLTERO		ESPECIALIZACION	SOCIO EMPLEADO - SOCIO	1,558333333	0	0	41	48	0
3029	201207	TarjetaNuestra	1	2,3	0	47			SI	Almacen	FEMENINO	SOLTERO		BACHILLER	COMERCIANTE	0	0	0	36	43	0
3030	201207	TarjetaNuestra	1	5,4	3,077467	34			NO	Almacen	MASCULINO	CASADO		UNIVERSITARIO	EMPLEADO	4,077777778	0	0	40	47	0
3031	201207	TarjetaNuestra	1	6,16	5	62			SI	Preaprobado	MASCULINO	UNION LIBRE	FAMILIAR	TECNOLOGO	INDEPENDIENTE	0	14,59722222	0	37	44	0
3032	201311	TarjetaNuestra	1	19,8	17,185536	60					MASCULINO	OTRO	PROPIA	UNIVERSITARIO	EMPLEADO	0	24,5	0	52	59	0
3033	201311	TarjetaNuestra	1	5,25	3,362674	41					MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	0,813888889	16,06666667		33	40	0
3034	201311	TarjetaNuestra	2	14	3,92	34	FAMILIAR	2	SI	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0,113888889	0,105555556	0	31	38	0
3035	201311	TarjetaNuestra	2	4,2	2	23	FAMILIAR	1	SI	Almacen	MASCULINO	UNION LIBRE		NO INFORMA	EMPLEADO	2,822222222	1,077777778	4	47	54	0
3036	201311	TarjetaNuestra	1	10,5	3,2769	37					MASCULINO	SOLTERO	ALQUILADA	ESPECIALIZACION	EMPLEADO		7,002777778	370	37	44	0
3037	201311	TarjetaNuestra	1	9	3,105	34					FEMENINO	CASADO			EMPLEADO	0	0	3	41	48	0
3038	201311	TarjetaNuestra	1	11,7697	5,041652	64					FEMENINO	SOLTERO		ESPECIALIZACION	EMPLEADO	39,62777778	0	0	37	44	0
3039	201311	TarjetaNuestra	1	7,2	1,931862	45					FEMENINO	UNION LIBRE	PROPIA	BACHILLER	JUBILADO		3,361111111	0	42	49	0
3040	201311	TarjetaNuestra	2	7,42	1,7765	27	PROPIA	0	NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	2,830555556	7,661111111	0	60	67	1
3041	201311	TarjetaColombia	1	7	6,04097	51	FAMILIAR		NO	Almacen	FEMENINO	SOLTERO		NO INFORMA	EMPLEADO	0	0	38	43	50	0
3042	201207	TarjetaLocal	1	3,78	2,397	33					MASCULINO	SOLTERO	PROPIA	ESPECIALIZACION	EMPLEADO	7,586111111	12,89444444	0	56	1	0
3043	201311	TarjetaNuestra	1	10,5	4,69248	27					MASCULINO	SOLTERO	PROPIA	UNIVERSITARIO	EMPLEADO		4,2	0	46	53	0
3044	201311	TarjetaNuestra	1	10	15,304001	37					MASCULINO	SOLTERO			EMPLEADO	0	0	6	43	50	0
3045	201311	TarjetaColombia	1	7,170345	4,598004	38	FAMILIAR		SI	Preaprobado	FEMENINO	SOLTERO	ALQUILADA	TECNOLOGO	OTRA	0	11,87222222	3	35	42	0
3046	201311	TarjetaNuestra	2	14,5005	7,943	60	FAMILIAR	1	NO	Preaprobado	MASCULINO	CASADO		UNIVERSITARIO	EMPLEADO		0	2	35	42	0
3047	201311	TarjetaNuestra	1	24,5	14	63					MASCULINO	VIUDO	PROPIA	NINGUNO	INDEPENDIENTE	4,083333333	17,11666667	0	51	58	0
3048	201311	TarjetaNuestra	2	4,634	2,08	33	FAMILIAR	0	SI	Preaprobado	MASCULINO	CASADO	PROPIA	TECNOLOGO	EMPLEADO	4,636111111	0,7	0	31	38	0
3049	201311	TarjetaNuestra	2	10,2	0	27	ARRENDADA	0	SI	Preaprobado	FEMENINO	CASADO	NO INFORMA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE	1,377777778	7,305555556	0	46	53	0
3050	201311	TarjetaNuestra	1	4,9	2,813352	35					FEMENINO	NO INFORMA	FAMILIAR	NO INFORMA	EMPLEADO		14,84166667		42	49	0
3051	201311	TarjetaNuestra	1	10,89242	7	31					FEMENINO	UNION LIBRE	FAMILIAR	UNIVERSITARIO	EMPLEADO	3,072222222	2,586111111	0	31	38	0
3052	201207	TarjetaNuestra	1	4,6	2,443722	30			NO	Almacen	MASCULINO	NO INFORMA	FAMILIAR	TECNOLOGO	EMPLEADO	2,727777778	6,288888889	0	36	43	0
3053	201311	TarjetaNuestra	1	4,732	1,417757	42					FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE		5,997222222	0	52	0	0
3054	201311	TarjetaNuestra	1	7	3,057429	24					MASCULINO	SOLTERO		UNIVERSITARIO	EMPLEADO	2,333333333	3,880555556		39	46	0
3055	201207	TarjetaNuestra	1	2,77	1,78074	24			SI	Almacen	MASCULINO	UNION LIBRE	FAMILIAR	BACHILLER	EMPLEADO	0	1,430555556	0	54	61	1
3056	201311	TarjetaNuestra	1	7	3,5	39					MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO		22,78888889	0	32	39	0
3057	201207	TarjetaNuestra	1	1	1,0403	36			SI	Almacen	FEMENINO	SOLTERO	FAMILIAR	NO INFORMA	EMPLEADO	1,45	1,447222222		32	39	0
3058	201311	TarjetaMundo	1	8,96	5,047096	61				Almacen	MASCULINO	NO INFORMA	PROPIA	ESPECIALIZACION	JUBILADO	41,75	18,38333333	10	47	54	0
3059	201311	TarjetaNuestra	1	5,5	5	30					FEMENINO	SOLTERO		UNIVERSITARIO	EMPLEADO	0	1,816666667	0	31	38	0
3060	201311	TarjetaNuestra	1	9,8	24,656	59					MASCULINO	UNION LIBRE	PROPIA	ESPECIALIZACION	PROFESIONAL INDEPENDIENTE		12,80555556	0	50	57	0
3061	201311	TarjetaColombia	2	10	8,75981	44	ARRENDADA		SI	Preaprobado	MASCULINO	CASADO		NO INFORMA	PROFESIONAL INDEPENDIENTE		2,902777778	0	50	0	0
3062	201311	TarjetaNuestra	2	42	7,2	46	ARRENDADA	3 Ó MAS	NO	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	16,96944444	14,10555556	0	44	51	0
3063	201311	TarjetaNuestra	1	7,8	2,875	42					FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	7,252777778	17,15277778		38	45	0
3064	201311	TarjetaNuestra	2	9	3,033003	32	ARRENDADA	0	SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	5,583333333	19,86388889	0	35	0	0
3065	201207	TarjetaNuestra	2	2	0,556352	57			SI	Almacen	FEMENINO	DIVORCIADO		NO INFORMA	EMPLEADO		0,383333333	0	52	59	0
3066	201311	TarjetaNuestra	1	7,21	2,295	26					MASCULINO	SOLTERO	PROPIA	UNIVERSITARIO	EMPLEADO	0,647222222	0	1	31	38	0
3067	201311	TarjetaNuestra	2	5,429709	1,575	26	FAMILIAR	0	SI	Preaprobado	FEMENINO	NO INFORMA		NINGUNO	EMPLEADO	0	0,008333333	0	45	52	0
3068	201311	TarjetaMundo	2	120,6	30,1857	60				Preaprobado	MASCULINO	CASADO		ESPECIALIZACION	EMPLEADO	0	0,294444444	79	51	58	0
3069	201207	TarjetaNuestra	1	5,9	2,7	31			NO	Almacen	MASCULINO	UNION LIBRE	PROPIA	BACHILLER	EMPLEADO	13,5	11,83611111	0	46	53	0
3070	201311	TarjetaColombia	1	9	5,041788	27	ARRENDADA		SI	Preaprobado	MASCULINO	CASADO		TECNOLOGO	EMPLEADO	0,755555556	0,266666667	0	33	40	0
3071	201311	TarjetaNuestra	1	65	42,2	52					FEMENINO	CASADO	PROPIA	ESPECIALIZACION	PROFESIONAL INDEPENDIENTE	23,41666667	25,93333333	0	53	60	0
3072	201311	TarjetaNuestra	1	11,2	5,557	49					FEMENINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	9,833333333	31,86944444	0	43	50	0
3073	201311	TarjetaPrivada	1	2,45	1,06	33	ARRENDADA	2	SI	Almacen	MASCULINO	CASADO	ALQUILADA	TECNOLOGO	EMPLEADO	9,794444444	12,01388889		54	61	1
3074	201207	TarjetaNuestra	2	10	8,947	29			NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	1,25	9,108333333		52	59	0
3075	201311	TarjetaNuestra	1	12	9,631398	40					MASCULINO	NO INFORMA	ALQUILADA	UNIVERSITARIO	EMPLEADO		6,963888889	30	48	55	0
3076	201311	TarjetaColombia	1	6	11,47	38	OTRAS		SI	Preaprobado	MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO	0	0	0	37	44	0
3077	201311	TarjetaColombia	2	15,841	13,5515	49	PROPIA		NO	Almacen	FEMENINO	CASADO		TECNOLOGO	INDEPENDIENTE	4,827777778	0,194444444	0	35	42	0
3078	201207	TarjetaNuestra	1	5	6,69	22			NO	Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	EMPLEADO		0	11	51	58	0
3079	201311	TarjetaNuestra	2	2,1	1,417757	26	FAMILIAR	1	SI	Almacen	FEMENINO	CASADO		UNIVERSITARIO	EMPLEADO		2,977777778	18	48	0	0
3080	201311	TarjetaNuestra	1	15,7	6,403	31					MASCULINO	NO INFORMA	NO INFORMA	NO INFORMA	EMPLEADO		7,666666667		36	43	0
3081	201311	TarjetaNuestra	1	15	25,718305	31					FEMENINO	SOLTERO	FAMILIAR	ESPECIALIZACION	PROFESIONAL INDEPENDIENTE	1,833333333	5,738888889	0	48	55	0
3082	201311	TarjetaNuestra	1	6	2,906308	30					FEMENINO	UNION LIBRE	PROPIA	NO INFORMA	EMPLEADO	2,297222222	0	0	32	39	0
3083	201311	TarjetaMundo	2	32	6,6497	32				Preaprobado	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	1,161111111	9,547222222		47	54	0
3084	201311	TarjetaNuestra	1	1,5	0,5895	43					FEMENINO	NO INFORMA			EMPLEADO	0	0	8	36	43	0
3085	201311	TarjetaNuestra	1	1,6	1,082397	28					MASCULINO	NO INFORMA			EMPLEADO	0	0	0	34	10	0
3086	201207	TarjetaLocal	1	3,5	4,8	33					MASCULINO	NO INFORMA		NO INFORMA	INDEPENDIENTE		0	14	55	62	0
3087	201311	TarjetaNuestra	1	11,2	4,5895	48					FEMENINO	NO INFORMA			EMPLEADO	0	0		53	60	0
3088	201311	TarjetaNuestra	1	2,5	3,353904	31					FEMENINO	UNION LIBRE	FAMILIAR	UNIVERSITARIO	OTRA		8,827777778	0	59	66	1
3089	201311	TarjetaNuestra	2	4,4	1,93572	32	FAMILIAR	1	SI	Almacen	MASCULINO	UNION LIBRE	ALQUILADA	BACHILLER	EMPLEADO		7,747222222	4	37	44	0
3090	201311	TarjetaNuestra	1	1,3986	0,738461	44					FEMENINO	SOLTERO			EMPLEADO	0	0,788888889	69	33	40	0
3091	201311	TarjetaLocal	2	10,5	4,721217	35			NO	Almacen	FEMENINO	NO INFORMA	FAMILIAR	UNIVERSITARIO	EMPLEADO	7,569444444	0	141	45	52	0
